"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6","6","4700uF","","","","User:C_Radial_Polarized_P7.50mm_CNC",""
"C7,C8,C9,C10","4","1uF","","","","User:C_Rect_P5.00mm_CNC",""
"D1,D2,D3,D4","4","1N4001","","","","User:D_P10.16mm_CNC","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Screw_Terminal_01x02","","","","User:TerminalBlock_1x2_CNC","~"
"J2","1","Screw_Terminal_01x03","","","","User:TerminalBlock_1x3_CNC","~"
"U1","1","LM7812_TO220","","","","User:TO-220_CNC","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","LM7912_TO220","","","","User:TO-220_CNC","hhttps://www.onsemi.com/pub/Collateral/MC7900-D.PDF"
